level	no	word	gloss_short	gloss_full	score
lv1	1	will	意志／遺書	意志／遺書／遺言	0.765
lv1	2	do	間に合う／良い	間に合う／良い	0.755
lv1	3	time	時間／回数	時間／回数／倍	0.749
lv1	4	good	商品／利益	商品／利益／かなりの	0.732
lv1	5	first	第／の	第／の／初めて	0.731
lv1	6	way	方法／道	方法／道／点	0.721
lv1	7	even	さえも／さらに	さえも／さらに／偶数の	0.719
lv1	8	right	権利	権利／（場所や時の副詞を修飾して）ちょうど／正しい	0.716
lv1	9	work	機能する	機能する	0.716
lv1	10	well-being	健康／幸福	健康／幸福	0.715
lv1	11	still	まだ／それでも	まだ／それでも／静止した	0.712
lv1	12	life	人生／生活	人生／生活／生命	0.709
lv1	13	say	例えば	例えば	0.709
lv1	14	last	続く／持続する	続く／持続する／長持ちする	0.707
lv1	15	man-made	合成の／人工の	合成の／人工の	0.702
lv1	16	long	切望する	切望する	0.701
lv1	17	used	以前は～だった／よく～したものだ	以前は～だった／よく～したものだ／慣れている	0.700
lv1	18	state	州／状態	州／状態／国家	0.698
lv1	19	own	～を所有している／自分自身の	～を所有している／自分自身の／～を認める	0.694
lv1	20	end	結局～することになる／端	結局～することになる／端／終わり	0.688
lv1	21	found	～を設立する／～を創立する	～を設立する／～を創立する／～を築く	0.867
lv1	22	sure	確信して	確信して	0.687
lv1	23	free	自由な／無料の	自由な／無料の／暇な	0.683
lv1	24	second	二番目の／秒	二番目の／秒／おかわり	0.683
lv1	25	lot	多くの～／大量のもの	多くの～／大量のもの／区画	0.681
lv1	26	until	～まで	～まで	0.681
lv1	27	company	会社／仲間	会社／仲間／一緒にいること	0.765
lv1	28	real	本当の／本物の	本当の／本物の／現実の	0.680
lv1	29	thought	考え／思考	考え／思考	0.679
lv1	30	government	政府	政府	0.677
lv1	31	public	公の／大衆	公の／大衆／公衆の	0.677
lv1	32	care	世話／気にする	世話／気にする／世話をする	0.676
lv1	33	system	制度／組織	制度／組織／体系	0.676
lv1	34	case	場合／事実	場合／事実／事件	0.675
lv1	35	change	～を変える／変化	～を変える／変化／釣り銭	0.674
lv1	36	point	要点／言いたいこと	要点／言いたいこと	0.674
lv1	37	mean	～を意味する／意地悪な	～を意味する／意地悪な／意地の悪い	0.756
lv1	38	support	～を支持する／～を養う	～を支持する／～を養う／～を立証する	0.673
lv1	39	believe	～を信じる	～を信じる	0.671
lv1	40	head	向かう／～を率いる	向かう／～を率いる	0.671
lv1	41	on-the-job	実地の／職場での	実地の／職場での	0.670
lv1	42	line	列／行	列／行／線	0.669
lv1	43	order	命令／～を注文する	命令／～を注文する／注文	0.669
lv1	44	run	～を経営する／走る	～を経営する／走る	0.669
lv1	45	service	公共事業／事業	公共事業／事業／奉仕	0.669
lv1	46	general	一般的な／全体の	一般的な／全体の／一般	0.840
lv1	47	area	地域／領域	地域／領域	0.666
lv1	48	law	法律／国法	法律／国法／法則	0.666
lv1	49	whole	全体の	全体の	0.666
lv1	50	face	～に直面する／～の身に迫る	～に直面する／～の身に迫る／〈方向〉～向きである	0.665
lv1	51	per	～につき／～ごとに	～につき／～ごとに	0.665
lv1	52	story	階／物語	階／物語／～階建て	0.665
lv1	53	means	手段／収入	手段／収入／資力	0.836
lv1	54	within	～以内で	～以内で	0.664
lv1	55	early	早く／初期に	早く／初期に／早い	0.663
lv1	56	information	情報〈不可算〉	情報〈不可算〉	0.663
lv1	57	local	地元の／その土地の	地元の／その土地の／地元の人	0.663
lv1	58	post	～を投稿する／～を張る	～を投稿する／～を張る	0.663
lv1	59	social	社会の	社会の	0.662
lv1	60	court	法廷／裁判所	法廷／裁判所／宮廷	0.661
lv1	61	given	～を考慮すると／定められた	～を考慮すると／定められた／～仮定すると	0.661
lv1	62	mind	精神／心	精神／心／気にする	0.661
lv1	63	control	～を抑制する／支配する	～を抑制する／支配する／制御する	0.660
lv1	64	death	死	死	0.660
lv1	65	pay	～を支払う／支払う	～を支払う／支払う／割に合う	0.660
lv1	66	almost	ほとんど	ほとんど	0.659
lv1	67	history	歴史／履歴	歴史／履歴／歴史学	0.659
lv1	68	research	研究／調査	研究／調査／～を研究する	0.830
lv1	69	room	部屋／余地	部屋／余地／空間	0.659
lv1	70	win	勝つ／～に勝つ	勝つ／～に勝つ／～を獲得する	0.659
lv1	71	matter	問題／事柄	問題／事柄／重要である	0.737
lv1	72	remember	覚えている／～を覚えている	覚えている／～を覚えている／よろしく伝える	0.658
lv1	73	air	空気／空	空気／空／外見	0.657
lv1	74	probably	おそらく	おそらく	0.657
lv1	75	class	クラス／授業	クラス／授業／階級	0.656
lv1	76	close	近い	近い	0.656
lv1	77	idea	考え／思いつき	考え／思いつき／理解	0.656
lv1	78	possible	可能な／あり得る	可能な／あり得る／可能性のある	0.656
lv1	79	cause	原因／～を引き起こす	原因／～を引き起こす／理由	0.733
lv1	80	due	しかるべき／予定された	しかるべき／予定された／期日で	0.825
lv1	81	human	人間の	人間の	0.655
lv1	82	series	連続／一続き	連続／一続き	0.655
lv1	83	wait	待つ／仕える	待つ／仕える／給仕する	0.655
lv1	84	community	地域社会／社会	地域社会／社会／共同体	0.732
lv1	85	leave	休暇／～を出発する	休暇／～を出発する／～を残す	0.654
lv1	86	low	低い	低い	0.653
lv1	87	age	年齢／時代	年齢／時代／長い間	0.652
lv1	88	deal	～を処理する／～を商う	～を処理する／～を商う／～を分配する	0.821
lv1	89	rather	むしろ／かなり	むしろ／かなり	0.652
lv1	90	reason	理由／理性	理由／理性／根拠	0.729
lv1	91	turn	～の向きを変える	～の向きを変える	0.652
lv1	92	whether	～かどうか	～かどうか／～であろうとなかろうと	0.652
lv1	93	check	小切手／～を調べる	小切手／～を調べる／～を確かめる	0.651
lv1	94	form	形状／～を形成する	形状／～を形成する／用紙	0.651
lv1	95	act	行動する／行動	行動する／行動／法令	0.650
lv1	96	fire	～を解雇する／～を首にする	～を解雇する／～を首にする	0.650
lv1	97	fun	楽しみ／おもしろいこと	楽しみ／おもしろいこと	0.650
lv1	98	major	主要な／専攻する	主要な／専攻する／大きい	0.727
lv1	99	media	メディア／マスメディア	メディア／マスメディア／媒体	0.650
lv1	100	art	芸術／技術	芸術／技術／人文学	0.649
lv1	101	political	政治の／政治的な	政治の／政治的な	0.817
lv1	102	available	利用できる／手に入る	利用できる／手に入る／入手できる	0.816
lv1	103	education	教育	教育	0.648
lv1	104	former	元の／前の	元の／前の／以前の	0.816
lv1	105	ready	用意ができた／用意ができている	用意ができた／用意ができている／進んで～する	0.648
lv1	106	current	現在の／今の	現在の／今の／最新の	0.906
lv1	107	experience	経験／体験	経験／体験／～を経験する	0.647
lv1	108	meet	～に会う／～を満たす	～に会う／～を満たす	0.647
lv1	109	chance	機会／見込み	機会／見込み／可能性	0.646
lv1	110	process	過程／～を加工する	過程／～を加工する／処理する	0.646
lv1	111	clear	明らかな	明らかな	0.645
lv1	112	self	自己	自己	0.645
lv1	113	board	委員会／板	委員会／板／重役会	0.644
lv1	114	cost	費用／～を要する	費用／～を要する／～がかかる	0.644
lv1	115	instead	代わりに／その代わりに	代わりに／その代わりに	0.644
lv1	116	main	主要な	主要な	0.644
lv1	117	moment	瞬間	瞬間	0.644
lv1	118	department	部門／学科	部門／学科／省	0.643
lv1	119	fine	～に罰金を科す／すばらしい	～に罰金を科す／すばらしい／細かい	0.643
lv1	120	force	力／～に強いる	力／～に強いる／～を強制する	0.809
lv1	121	issue	問題／号	問題／号／発行	0.809
lv1	122	long-term	長期にわたる／長期的な	長期にわたる／長期的な	0.643
lv1	123	price	価格／物価	価格／物価／代償	0.643
lv1	124	rest	残り／休憩	残り／休憩／息	0.643
lv1	125	term	用語／期間	用語／期間／条件	0.718
lv1	126	miss	～を逃す／～に乗り遅れる	～を逃す／～に乗り遅れる／～を休む	0.642
lv1	127	project	計画／事業	計画／事業／企画	0.808
lv1	128	site	用地／場所	用地／場所／サイト	0.900
lv1	129	up-to-date	最新の	最新の	0.642
lv1	130	account	説明／口座	説明／口座／勘定	0.715
lv1	131	include	～を含む／含める	～を含む／含める	0.807
lv1	132	period	時代／期間	時代／期間／時限	0.641
lv1	133	position	位置／場所	位置／場所／立場	0.641
lv1	134	similar	似ている／似た	似ている／似た／類似した	0.715
lv1	135	total	全体の／完全な	全体の／完全な／まったくの	0.641
lv1	136	common	共通の／普通の	共通の／普通の／普及した	0.805
lv1	137	lead	～を導く／至る	～を導く／至る／～を送る	0.640
lv1	138	likely	ありそうな／～しそうだ	ありそうな／～しそうだ／しそうである	0.805
lv1	139	military	軍事の／軍の	軍事の／軍の／軍事的な	0.897
lv1	140	personal	個人的な	個人的な	0.640
lv1	141	security	安全／安全性	安全／安全性	0.640
lv1	142	share	～を共有する／～を分け合う	～を共有する／～を分け合う／～を共同で使う	0.714
lv1	143	county	郡／州	郡／州	0.639
lv1	144	happen	起こる／偶然～する	起こる／偶然～する／たまたまする	0.639
lv1	145	industry	産業／工業	産業／工業／勤勉	0.804
lv1	146	private	個人的な／個人の	個人的な／個人の／私的な	0.639
lv1	147	return	戻る／帰る	戻る／帰る	0.639
lv1	148	sense	感覚／意味	感覚／意味／分別	0.639
lv1	149	test	テスト／判断基準	テスト／判断基準	0.639
lv1	150	view	眺め／見解	眺め／見解／意見	0.713
lv1	151	event	出来事／事件	出来事／事件	0.638
lv1	152	present	現在の／プレゼント	現在の／プレゼント／出席している	0.638
lv1	153	result	結果／結果としてなる	結果／結果としてなる／結果として生ずる	0.711
lv1	154	wish	～と思う	～と思う	0.638
lv1	155	design	～を設計する／～を計画する	～を設計する／～を計画する	0.637
lv1	156	guess	～を推測する／～と思う	～を推測する／～と思う／推測	0.637
lv1	157	interest	興味／利子	興味／利子／利益	0.710
lv1	158	policy	政策／方針	政策／方針／主義	0.802
lv1	159	society	社会／協会	社会／協会／社会〈不可算〉	0.637
lv1	160	alone	1人で／～だけ	1人で／～だけ	0.636
lv1	161	average	平均の／普通の	平均の／普通の／平均	0.636
lv1	162	certain	確かな／確信して	確かな／確信して／ある	0.636
lv1	163	medical	医学の／医療の	医学の／医療の	0.636
lv1	164	performance	実行／業績	実行／業績／演技	0.636
lv1	165	press	～を押す／押す	～を押す／押す／強く求める	0.636
lv1	166	role	役割／役	役割／役	0.800
lv1	167	worth	～の価値がある／価値	～の価値がある／価値／～に値する	0.800
lv1	168	bill	請求書／法案	請求書／法案／勘定	0.799
lv1	169	exactly	正確に／〈会話で〉そのとおり	正確に／〈会話で〉そのとおり	0.635
lv1	170	ground	地面／根拠	地面／根拠／地上	0.635
lv1	171	provide	～を供給する／与える	～を供給する／与える	0.707
lv1	172	relationship	関係／親密な関係	関係／親密な関係	0.635
lv1	173	sound	音／健全な	音／健全な／堅実な	0.635
lv1	174	source	源／根源	源／根源／出所	0.635
lv1	175	value	価値／価値観	価値／価値観／～を重んじる	0.799
lv1	176	evidence	証拠／証拠〈不可算〉	証拠／証拠〈不可算〉	0.798
lv1	177	follow	～に従う／次に続く	～に従う／次に続く／～の後に続く	0.634
lv1	178	official	公式の／役人	公式の／役人／公用の	0.798
lv1	179	rate	割合／速度	割合／速度／～を評価する	0.706
lv1	180	save	～を救う／～を省く	～を救う／～を省く／～を貯める	0.634
lv1	181	stand	～を我慢する	～を我慢する	0.634
lv1	182	stuff	物／もの	物／もの／持ち物	0.798
lv1	183	tax	税金／税	税金／税	0.634
lv1	184	whatever	たとえ何を…しても	たとえ何を…しても／たとえ何が…であろうと	0.634
lv1	185	amount	量／～に達する	量／～に達する／結局～になる	0.633
lv1	186	fast	速い／固定した	速い／固定した／速く	0.633
lv1	187	federal	連邦の	連邦の	0.796
lv1	188	league	連盟／同盟	連盟／同盟	0.633
lv1	189	match	～に匹敵する／合う	～に匹敵する／合う／調和する	0.796
lv1	190	model	模範／モデル	模範／モデル／模型	0.633
lv1	191	trust	～を信頼する／～を信用する	～を信頼する／～を信用する／信用	0.796
lv1	192	central	中心的な	中心的な	0.632
lv1	193	forward	前方へ／～を転送する	前方へ／～を転送する	0.632
lv1	194	range	範囲／領域	範囲／領域／射程距離	0.887
lv1	195	review	批評／再検討	批評／再検討／復習	0.795
lv1	196	trade	貿易／商売	貿易／商売／取引	0.795
lv1	197	various	さまざまな／いくつかの	さまざまな／いくつかの	0.704
lv1	198	character	性格／特徴	性格／特徴／登場人物	0.702
lv1	199	chief	主な／第一の	主な／第一の／主要な	0.631
lv1	200	hate	～をひどく嫌う／～を嫌う	～をひどく嫌う／～を嫌う／憎む	0.631
lv1	201	lower	～を下げる	～を下げる	0.631
lv1	202	natural	当然の／自然の	当然の／自然の／生まれながらの	0.631
lv1	203	property	財産／特性	財産／特性／不動産	0.702
lv1	204	quality	質／質〈不可算〉	質／質〈不可算〉／特質	0.794
lv1	205	vote	投票／投票する	投票／投票する／投票結果	0.886
lv1	206	amazing	驚くべき／驚くほどの	驚くべき／驚くほどの	0.630
lv1	207	complete	完全な／～を完成させる	完全な／～を完成させる／～を完了する	0.793
lv1	208	involved	～に関係している／参加している	～に関係している／参加している	0.630
lv1	209	language	言語	言語	0.630
lv1	210	lord	神／高位の貴族	神／高位の貴族／支配者	0.630
lv1	211	related	関連した／関係のある	関連した／関係のある	0.630
lv1	212	serious	真剣な／深刻な	真剣な／深刻な／本気の	0.630
lv1	213	stage	段階	段階	0.630
lv1	214	add	～を加える／加える	～を加える／加える／増やす	0.629
lv1	215	article	記事／品物	記事／品物／条項	0.700
lv1	216	attack	～を襲う／攻撃する	～を襲う／攻撃する	0.629
lv1	217	entire	全体の／全部の	全体の／全部の／完全な	0.883
lv1	218	release	～を解放する／～を放出する	～を解放する／～を放出する／～を発表する	0.791
lv1	219	situation	状況／立場	状況／立場	0.629
lv1	220	technology	科学技術／技術	科学技術／技術／応用技術	0.700
lv1	221	code	暗号／規範	暗号／規範／規定	0.698
lv1	222	continue	続く／～を続ける	続く／～を続ける	0.628
lv1	223	council	議会／評議会	議会／評議会／会議	0.882
lv1	224	cover	～を覆う／～の範囲にわたる	～を覆う／～の範囲にわたる／～を報道する	0.628
lv1	225	election	選挙	選挙	0.628
lv1	226	financial	財政の／財政的な	財政の／財政的な／財界の	0.698
lv1	227	increase	増える／～を増やす	増える／～を増やす／増加	0.790
lv1	228	legal	法律の／合法の	法律の／合法の／法的な	0.790
lv1	229	lose	～を失う／負ける	～を失う／負ける／～に負ける	0.628
lv1	230	pick	～を選び取る／～を摘む	～を選び取る／～を摘む	0.628
lv1	231	race	人種／民族	人種／民族／競争	0.628
lv1	232	seem	～のように思われる	～のように思われる	0.628
lv1	233	sign	印／兆候	印／兆候／標識	0.628
lv1	234	staff	職員／社員	職員／社員／スタッフ	0.628
lv1	235	union	組合／労働組合	組合／労働組合／合併	0.790
lv1	236	career	経歴／職業	経歴／職業／職歴	0.697
lv1	237	figure	数字／人物	数字／人物／姿	0.789
lv1	238	loss	損失	損失	0.627
lv1	239	modern	現代の／近代的な	現代の／近代的な	0.627
lv1	240	safe	安全な	安全な	0.627
lv1	241	version	版／解釈	版／解釈／型	0.697
lv1	242	Internet	インターネット	インターネット	0.626
lv1	243	army	陸軍／軍隊	陸軍／軍隊	0.626
lv1	244	huge	巨大な／でっかい	巨大な／でっかい	0.696
lv1	245	practice	練習／実践	練習／実践／慣習	0.787
lv1	246	access	利用／入手	利用／入手／利用する権利	0.878
lv1	247	base	基礎／土台	基礎／土台／～の基礎を置く	0.625
lv1	248	mark	成績／～をつける	成績／～をつける／～に印をつける	0.625
lv1	249	offer	～を提供する／～を申し出る	～を提供する／～を申し出る／申し出	0.786
lv1	250	pass	～を通り過ぎる／～を抜く	～を通り過ぎる／～を抜く／～に受かる	0.625
lv1	251	risk	危険／リスク	危険／リスク／～を危険にさらす	0.625
lv1	252	district	地区／行政区	地区／行政区／区域	0.877
lv1	253	mine	鉱山／地雷	鉱山／地雷	0.693
lv1	254	minister	大臣／牧師	大臣／牧師／聖職者	0.877
lv1	255	note	メモ／注意する	メモ／注意する／注目する	0.624
lv1	256	recent	最近の	最近の	0.624
lv1	257	straight	まっすぐな	まっすぐな	0.624
lv1	258	culture	文化／教養	文化／教養／培養	0.692
lv1	259	pain	苦痛／痛み	苦痛／痛み／苦労	0.692
lv1	260	respect	～を尊敬する／尊敬	～を尊敬する／尊敬／尊重	0.692
lv1	261	specific	特定の／明確な	特定の／明確な／具体的な	0.784
lv1	262	standard	水準／基準	水準／基準／標準	0.692
lv1	263	charge	料金／責任	料金／責任／管理	0.691
lv1	264	create	～を創造する／～を引き起こす	～を創造する／～を引き起こす／～を創り出す	0.691
lv1	265	effect	影響／効果	影響／効果／結果	0.782
lv1	266	except	～を除いて／除いて	～を除いて／除いて／以外は	0.622
lv1	267	limited	限定された／わずかの	限定された／わずかの	0.622
lv1	268	recently	最近／近ごろ	最近／近ごろ	0.622
